respondent_id,age_group,zone,water_reliability,drainage_maintenance,street_condition,public_lighting,waste_collection,daytime_safety,nighttime_safety,police_trust,green_area_maintenance,overall_satisfaction
SYN-0057,30-44,North,1,2,4,2,3.0,4,2,2.0,2.0,2
SYN-0058,30-44,East,3,4,5,4,5.0,4,3,3.0,,4
SYN-0059,60+,East,4,2,3,1,3.0,3,3,1.0,2.0,3
SYN-0060,18-29,Central,5,5,3,3,3.0,4,2,2.0,2.0,4
SYN-0061,45-59,Central,3,2,1,2,2.0,3,1,3.0,4.0,2
SYN-0062,18-29,Central,3,3,2,3,3.0,2,1,3.0,,3
SYN-0063,30-44,Central,1,2,2,3,4.0,3,3,3.0,2.0,1
SYN-0064,60+,North,1,2,4,4,3.0,3,2,3.0,4.0,2
SYN-0065,45-59,Central,3,4,4,3,2.0,3,2,3.0,3.0,3
SYN-0066,45-59,East,3,3,3,4,3.0,4,2,4.0,2.0,2
SYN-0067,18-29,Central,1,2,3,4,1.0,3,1,3.0,5.0,2
SYN-0068,30-44,East,3,3,2,3,2.0,4,2,1.0,2.0,2
SYN-0069,30-44,West,4,3,2,4,5.0,4,3,3.0,3.0,3
SYN-0070,30-44,East,3,2,3,3,2.0,3,2,3.0,3.0,2
SYN-0071,30-44,South,3,2,2,2,4.0,2,2,,3.0,2
SYN-0072,30-44,Central,3,2,3,3,3.0,5,5,3.0,3.0,2
SYN-0073,30-44,West,3,3,2,2,3.0,2,2,3.0,2.0,2
SYN-0074,18-29,Central,3,4,4,4,4.0,2,2,2.0,3.0,3
SYN-0075,30-44,South,3,3,3,3,1.0,2,1,3.0,3.0,2
SYN-0076,18-29,South,2,3,2,3,3.0,3,2,4.0,4.0,2
SYN-0077,60+,East,5,2,1,2,,4,2,3.0,2.0,3
SYN-0078,30-44,South,4,3,4,3,5.0,4,1,3.0,5.0,2
SYN-0079,18-29,East,2,4,4,2,3.0,4,4,1.0,3.0,3
SYN-0080,45-59,West,4,3,3,3,2.0,2,1,,3.0,2
SYN-0081,45-59,Central,5,2,4,3,5.0,4,2,2.0,2.0,4
SYN-0082,18-29,West,3,2,3,3,3.0,4,5,4.0,2.0,2
SYN-0083,18-29,North,2,4,3,2,3.0,2,1,2.0,2.0,2
SYN-0084,18-29,West,4,3,2,4,3.0,3,1,3.0,2.0,3
SYN-0085,18-29,North,2,1,3,2,3.0,2,2,3.0,2.0,2
SYN-0086,45-59,West,2,5,4,3,4.0,3,2,3.0,2.0,3
SYN-0087,60+,Central,1,3,2,2,2.0,3,3,5.0,3.0,1
SYN-0088,18-29,West,4,3,2,2,4.0,4,3,4.0,2.0,3
SYN-0089,45-59,North,2,4,3,5,3.0,4,4,3.0,2.0,3
SYN-0090,18-29,South,3,3,2,4,4.0,4,3,2.0,3.0,2
SYN-0091,30-44,West,2,3,4,4,3.0,4,5,4.0,4.0,3
SYN-0092,45-59,North,4,4,2,2,3.0,3,3,3.0,3.0,3
SYN-0093,30-44,Central,4,3,3,4,3.0,4,4,3.0,3.0,3
SYN-0094,18-29,North,3,3,2,3,3.0,2,3,2.0,2.0,4
SYN-0095,30-44,Central,3,2,1,2,4.0,4,3,2.0,1.0,2
SYN-0096,60+,Central,3,1,1,3,3.0,2,2,2.0,1.0,2
SYN-0097,18-29,East,4,3,2,3,3.0,4,4,5.0,4.0,2
SYN-0098,18-29,Central,3,1,3,4,4.0,4,2,3.0,3.0,3
SYN-0099,18-29,North,4,3,4,3,5.0,3,3,4.0,2.0,4
SYN-0100,30-44,North,3,1,2,2,2.0,3,3,3.0,2.0,2
SYN-0101,30-44,West,3,1,2,2,3.0,2,2,4.0,2.0,2
SYN-0102,45-59,West,4,4,4,2,5.0,4,4,2.0,3.0,3
SYN-0103,45-59,Central,3,2,3,3,4.0,4,2,2.0,3.0,2
SYN-0104,60+,North,3,2,3,4,3.0,4,4,2.0,3.0,3
SYN-0105,45-59,North,4,3,2,3,3.0,4,2,3.0,4.0,2
SYN-0106,18-29,West,4,4,1,3,4.0,3,3,4.0,4.0,1
SYN-0107,30-44,East,4,3,3,2,3.0,3,2,2.0,4.0,4
SYN-0108,30-44,East,2,2,4,3,3.0,3,1,2.0,3.0,2
SYN-0109,30-44,Central,3,4,4,4,3.0,4,2,2.0,3.0,3
SYN-0110,60+,East,2,2,1,2,3.0,4,3,3.0,3.0,3
SYN-0111,45-59,North,3,4,4,3,3.0,2,3,2.0,3.0,3
SYN-0112,60+,East,4,3,2,3,4.0,3,2,2.0,5.0,3
SYN-0113,30-44,South,3,2,2,3,4.0,3,1,1.0,3.0,2
SYN-0114,30-44,Central,2,2,2,1,4.0,2,1,2.0,,1
SYN-0115,30-44,East,2,3,3,3,3.0,3,4,4.0,3.0,2
SYN-0116,18-29,East,2,2,2,5,4.0,3,2,3.0,4.0,3
SYN-0117,18-29,South,5,3,3,2,5.0,2,3,2.0,2.0,3
SYN-0118,30-44,North,3,4,3,3,1.0,2,2,,,2
SYN-0119,18-29,North,5,5,4,4,4.0,2,3,2.0,4.0,4
SYN-0120,60+,West,1,3,2,2,3.0,3,3,4.0,2.0,1
SYN-0121,18-29,Central,4,3,2,3,5.0,3,2,4.0,2.0,3
SYN-0122,18-29,Central,4,3,3,3,4.0,2,3,2.0,2.0,3
SYN-0123,45-59,East,3,4,3,3,4.0,4,3,2.0,4.0,4
SYN-0124,18-29,Central,4,4,3,5,4.0,4,4,5.0,3.0,3
SYN-0125,60+,Central,4,5,4,4,4.0,3,2,3.0,4.0,3
SYN-0126,45-59,East,4,2,1,5,3.0,2,2,2.0,4.0,2
SYN-0127,18-29,South,1,4,4,4,1.0,3,5,4.0,3.0,2
SYN-0128,45-59,East,4,2,1,2,,3,2,3.0,2.0,2
SYN-0129,45-59,North,2,3,2,1,3.0,2,4,4.0,2.0,2
SYN-0130,45-59,South,3,4,2,2,2.0,3,2,2.0,2.0,2
SYN-0131,45-59,South,3,2,3,4,2.0,3,3,3.0,5.0,2
SYN-0132,45-59,East,2,2,1,1,2.0,4,3,2.0,3.0,2
SYN-0133,30-44,North,3,4,4,2,3.0,3,1,3.0,3.0,4
SYN-0134,30-44,North,4,3,3,3,3.0,3,2,2.0,2.0,3
SYN-0135,45-59,East,4,1,1,3,3.0,1,1,2.0,2.0,2
SYN-0136,60+,East,4,3,3,2,5.0,3,2,2.0,3.0,4
SYN-0137,30-44,West,3,4,2,3,3.0,4,4,3.0,3.0,3
SYN-0138,45-59,Central,5,4,4,2,4.0,4,3,2.0,4.0,3
SYN-0139,30-44,West,4,5,5,5,4.0,4,2,3.0,3.0,4
SYN-0140,45-59,Central,4,5,5,5,4.0,3,3,4.0,4.0,4
SYN-0141,60+,East,2,3,3,2,2.0,4,2,2.0,4.0,2
SYN-0142,18-29,North,3,3,3,3,3.0,2,2,3.0,1.0,3
SYN-0143,18-29,West,1,1,1,2,2.0,3,2,2.0,3.0,1
SYN-0144,30-44,Central,3,2,3,4,3.0,3,2,3.0,3.0,2
SYN-0145,30-44,West,2,1,2,3,1.0,3,4,1.0,1.0,2
SYN-0146,30-44,Central,3,2,2,3,3.0,2,2,2.0,3.0,2
SYN-0147,18-29,East,4,3,3,3,3.0,2,2,2.0,1.0,3
SYN-0148,30-44,South,4,3,3,4,2.0,3,2,1.0,4.0,1
SYN-0149,30-44,North,4,4,3,2,3.0,3,5,5.0,3.0,3
SYN-0150,30-44,North,3,3,3,2,3.0,3,1,2.0,5.0,2
SYN-0151,45-59,East,3,2,3,2,3.0,4,3,3.0,4.0,2
SYN-0152,45-59,North,4,3,1,2,5.0,3,3,1.0,2.0,3
SYN-0153,45-59,Central,3,1,1,2,4.0,2,2,1.0,1.0,2
SYN-0154,45-59,South,4,2,2,3,4.0,4,5,3.0,2.0,3
SYN-0155,30-44,Central,3,3,2,4,5.0,2,3,4.0,2.0,4
SYN-0156,30-44,North,2,3,5,5,3.0,5,4,4.0,5.0,4
SYN-0157,30-44,East,4,2,3,2,4.0,3,3,4.0,3.0,3
SYN-0158,18-29,East,3,4,3,4,3.0,3,1,2.0,4.0,3
SYN-0159,18-29,East,3,1,1,2,3.0,4,3,3.0,2.0,2
SYN-0160,30-44,West,3,3,2,2,3.0,2,1,3.0,2.0,3
SYN-0161,60+,North,5,3,1,3,4.0,4,2,2.0,2.0,3
SYN-0162,45-59,South,1,2,2,1,3.0,2,1,2.0,4.0,1
SYN-0163,18-29,Central,4,5,5,5,3.0,4,4,5.0,4.0,3
SYN-0164,30-44,West,3,3,1,3,3.0,4,1,2.0,2.0,3
SYN-0165,18-29,South,4,3,3,3,4.0,5,4,4.0,5.0,3
SYN-0166,45-59,North,3,3,3,4,2.0,3,2,2.0,2.0,2
SYN-0167,45-59,East,4,3,4,3,2.0,5,3,5.0,3.0,3
SYN-0168,30-44,North,3,3,3,3,2.0,4,4,3.0,,2
SYN-0169,30-44,Central,4,2,2,3,,4,4,4.0,3.0,3
SYN-0170,30-44,East,3,3,2,4,2.0,3,2,2.0,3.0,3
SYN-0171,30-44,South,3,3,1,2,3.0,4,3,2.0,3.0,2
SYN-0172,45-59,East,3,3,4,3,3.0,3,2,3.0,3.0,3
SYN-0173,45-59,South,2,2,2,4,4.0,4,4,2.0,2.0,2
SYN-0174,30-44,West,3,1,3,3,4.0,3,1,3.0,2.0,2
SYN-0175,30-44,South,2,2,1,2,3.0,2,3,2.0,3.0,1
SYN-0176,18-29,North,1,4,2,4,3.0,5,4,2.0,4.0,3
SYN-0177,18-29,North,4,4,4,5,4.0,3,2,2.0,4.0,3
SYN-0178,18-29,East,5,3,1,3,4.0,3,4,,4.0,4
SYN-0179,30-44,North,3,3,3,3,3.0,5,3,3.0,3.0,4
SYN-0180,60+,Central,2,3,3,3,3.0,3,4,2.0,3.0,2
SYN-0181,30-44,North,1,4,4,5,4.0,3,3,3.0,4.0,1
SYN-0182,18-29,Central,2,2,2,3,1.0,4,3,3.0,2.0,2
SYN-0183,18-29,South,4,4,3,3,3.0,3,4,3.0,3.0,3
SYN-0184,30-44,North,4,2,4,2,4.0,4,4,4.0,2.0,3
SYN-0185,45-59,South,4,4,4,2,4.0,5,4,3.0,2.0,3
SYN-0186,30-44,West,4,4,4,4,5.0,4,4,1.0,2.0,3
SYN-0187,45-59,North,3,3,4,3,2.0,2,3,2.0,3.0,3
SYN-0188,45-59,North,2,3,1,4,4.0,3,1,3.0,4.0,2
SYN-0189,18-29,Central,3,1,2,3,2.0,3,3,4.0,2.0,3
SYN-0190,30-44,West,4,4,4,3,3.0,5,3,5.0,4.0,4
SYN-0191,60+,South,4,4,3,4,3.0,4,4,2.0,5.0,3
SYN-0192,30-44,East,1,3,2,4,2.0,4,5,3.0,3.0,2
SYN-0193,18-29,North,2,2,2,4,1.0,5,2,2.0,2.0,2
SYN-0194,60+,East,3,3,3,4,4.0,4,4,5.0,3.0,3
SYN-0195,60+,North,2,1,2,2,3.0,3,3,4.0,2.0,2
SYN-0196,30-44,East,3,3,1,3,4.0,3,1,3.0,2.0,2
SYN-0197,30-44,North,3,3,2,3,3.0,3,3,3.0,3.0,3
SYN-0198,18-29,West,4,3,3,3,4.0,2,1,3.0,4.0,3
SYN-0199,45-59,Central,3,3,3,5,2.0,3,1,4.0,4.0,2
SYN-0200,30-44,North,4,2,2,3,5.0,1,1,2.0,1.0,2
SYN-0201,18-29,Central,2,4,3,3,1.0,3,3,3.0,2.0,2
SYN-0202,45-59,North,4,4,5,4,3.0,4,4,3.0,3.0,3
SYN-0203,60+,North,3,3,3,3,3.0,4,3,4.0,4.0,3
SYN-0204,45-59,South,1,4,3,2,1.0,2,3,3.0,4.0,2
SYN-0205,18-29,Central,3,1,2,2,3.0,2,2,2.0,4.0,1
SYN-0206,18-29,Central,3,2,2,4,4.0,4,4,3.0,3.0,2
SYN-0207,60+,West,3,2,2,2,2.0,3,2,3.0,2.0,2
SYN-0208,60+,North,3,2,2,2,3.0,4,4,5.0,3.0,3
SYN-0209,30-44,Central,3,2,2,2,4.0,3,2,2.0,2.0,2
SYN-0210,45-59,North,3,4,2,3,3.0,2,4,3.0,3.0,2
SYN-0211,30-44,South,3,4,4,3,3.0,4,5,4.0,3.0,2
SYN-0212,30-44,Central,1,1,2,1,1.0,3,3,3.0,1.0,1
SYN-0213,18-29,North,4,3,2,5,4.0,2,2,2.0,3.0,3
SYN-0214,18-29,North,3,3,3,3,2.0,4,2,4.0,3.0,2
SYN-0215,18-29,West,1,3,2,3,3.0,3,4,3.0,4.0,2
SYN-0216,45-59,North,3,4,3,4,3.0,3,3,3.0,4.0,3
SYN-0217,18-29,East,4,3,3,4,4.0,3,3,4.0,2.0,3
SYN-0218,18-29,West,4,4,4,4,4.0,3,2,2.0,3.0,3
SYN-0219,30-44,South,4,3,1,3,4.0,3,4,3.0,1.0,3
SYN-0220,18-29,Central,1,2,3,2,,3,2,1.0,2.0,2
SYN-0221,18-29,East,4,2,2,3,3.0,2,3,2.0,3.0,3
SYN-0222,30-44,West,3,5,4,3,2.0,3,4,1.0,3.0,3
SYN-0223,30-44,North,3,3,3,3,2.0,2,4,4.0,4.0,2
SYN-0224,30-44,West,5,2,2,1,5.0,2,3,3.0,1.0,3
SYN-0225,60+,West,4,2,4,3,5.0,4,1,2.0,3.0,4
SYN-0226,18-29,North,3,3,3,3,2.0,3,2,2.0,3.0,3
SYN-0227,60+,North,3,4,5,3,3.0,5,5,5.0,5.0,4
SYN-0228,60+,East,2,4,4,5,3.0,5,3,2.0,5.0,2
SYN-0229,45-59,North,3,3,2,3,3.0,3,1,2.0,3.0,3
SYN-0230,45-59,East,3,3,3,5,2.0,3,4,4.0,4.0,2
SYN-0231,30-44,North,3,2,2,2,2.0,2,3,1.0,2.0,2
SYN-0232,45-59,East,2,1,2,2,3.0,3,3,3.0,4.0,2
SYN-0233,45-59,Central,4,5,2,2,2.0,4,2,1.0,2.0,3
SYN-0234,18-29,North,4,3,3,4,2.0,5,3,3.0,3.0,3
SYN-0235,60+,North,3,3,2,3,3.0,3,4,2.0,3.0,2
SYN-0236,30-44,North,3,3,2,2,4.0,5,2,4.0,,3
SYN-0237,45-59,South,2,2,1,1,2.0,2,1,1.0,2.0,2
SYN-0238,30-44,North,4,2,4,1,3.0,4,3,1.0,,2
SYN-0239,18-29,West,1,2,1,3,3.0,4,3,2.0,3.0,1
SYN-0240,30-44,East,3,2,2,2,3.0,2,3,2.0,3.0,2
SYN-0241,30-44,Central,2,2,1,2,2.0,3,3,2.0,3.0,2
SYN-0242,30-44,West,4,3,4,2,4.0,3,3,4.0,3.0,2
SYN-0243,30-44,East,3,1,2,1,3.0,3,4,1.0,2.0,2
SYN-0244,18-29,East,3,3,2,2,3.0,4,5,2.0,2.0,2
SYN-0245,30-44,North,5,5,4,4,,4,4,3.0,4.0,5
SYN-0246,30-44,East,2,2,2,3,3.0,3,2,3.0,2.0,1
SYN-0247,60+,South,2,2,2,3,2.0,4,2,4.0,2.0,2
SYN-0248,18-29,West,5,5,4,5,4.0,3,3,4.0,4.0,3
SYN-0249,30-44,South,3,5,5,5,4.0,5,4,4.0,5.0,3
SYN-0250,30-44,East,3,1,3,3,3.0,3,2,1.0,2.0,2
SYN-0251,30-44,Central,1,3,2,3,2.0,4,2,3.0,2.0,3
SYN-0252,30-44,North,4,4,2,3,4.0,4,4,4.0,2.0,3
SYN-0253,45-59,North,4,4,4,5,4.0,5,4,4.0,4.0,3
SYN-0254,60+,West,4,1,3,3,2.0,3,3,3.0,3.0,1
SYN-0255,18-29,East,3,3,3,3,4.0,2,2,2.0,4.0,2
SYN-0256,45-59,Central,5,2,3,2,4.0,4,4,3.0,3.0,3
SYN-0257,18-29,East,4,2,3,3,5.0,4,3,5.0,4.0,3
SYN-0258,18-29,North,5,2,2,3,3.0,2,1,1.0,3.0,3
SYN-0259,30-44,North,1,3,3,4,2.0,4,4,2.0,4.0,1
SYN-0260,18-29,South,4,2,1,2,3.0,3,3,3.0,3.0,2
SYN-0261,30-44,East,3,2,2,4,3.0,2,1,2.0,4.0,3
SYN-0262,45-59,West,2,4,3,4,2.0,4,3,2.0,3.0,3
SYN-0263,45-59,East,3,3,3,4,1.0,3,2,4.0,2.0,1
SYN-0264,30-44,Central,2,3,2,4,2.0,2,2,2.0,3.0,2
SYN-0265,30-44,West,2,3,3,2,,3,2,2.0,4.0,2
SYN-0266,30-44,South,3,3,4,4,3.0,4,2,2.0,,3
SYN-0267,18-29,West,1,1,4,3,4.0,3,3,5.0,4.0,2
SYN-0268,18-29,North,4,4,4,2,4.0,3,2,3.0,5.0,4
SYN-0269,45-59,North,3,3,3,3,3.0,3,3,,4.0,3
SYN-0270,60+,North,4,3,3,4,,4,2,4.0,3.0,3
SYN-0271,18-29,West,3,2,2,3,4.0,4,2,2.0,1.0,3
SYN-0272,30-44,North,3,4,4,5,3.0,4,4,3.0,3.0,3
SYN-0273,45-59,West,2,2,3,3,2.0,4,3,4.0,2.0,2
SYN-0274,45-59,East,4,4,4,5,4.0,5,5,5.0,4.0,3
SYN-0275,30-44,North,4,3,4,4,5.0,2,2,1.0,4.0,3
SYN-0276,30-44,West,4,5,3,3,4.0,3,2,3.0,4.0,3
SYN-0277,45-59,North,2,3,2,1,2.0,2,2,1.0,3.0,3
SYN-0278,45-59,North,4,1,3,3,3.0,2,1,2.0,3.0,3
SYN-0279,18-29,South,3,3,4,3,3.0,3,4,3.0,1.0,3
SYN-0280,60+,Central,3,3,4,3,4.0,3,5,2.0,3.0,2
SYN-0281,18-29,Central,5,3,3,4,3.0,3,4,3.0,4.0,4
SYN-0282,45-59,North,3,1,1,3,2.0,3,2,2.0,4.0,1
SYN-0283,18-29,East,2,5,3,5,2.0,3,2,2.0,4.0,2
SYN-0284,18-29,North,3,3,3,3,2.0,3,3,3.0,5.0,2
SYN-0285,18-29,Central,3,2,2,2,3.0,3,1,1.0,3.0,3
SYN-0286,30-44,South,4,2,1,3,3.0,3,2,4.0,3.0,3
SYN-0287,30-44,South,4,4,3,4,4.0,5,4,4.0,4.0,3
SYN-0288,18-29,East,1,3,3,4,2.0,3,3,,3.0,2
SYN-0289,30-44,Central,3,2,3,3,3.0,4,2,3.0,2.0,2
SYN-0290,30-44,East,5,3,3,5,4.0,4,4,3.0,2.0,4
SYN-0291,45-59,East,2,1,2,4,3.0,2,2,4.0,2.0,2
SYN-0292,60+,Central,2,4,3,3,4.0,4,5,3.0,4.0,3
SYN-0293,45-59,Central,3,4,4,5,4.0,3,4,3.0,4.0,4
SYN-0294,18-29,South,3,2,1,3,2.0,2,3,3.0,1.0,2
SYN-0295,30-44,South,2,2,2,4,2.0,2,2,1.0,2.0,2
SYN-0296,60+,North,2,2,4,4,2.0,3,3,3.0,4.0,2
SYN-0297,18-29,South,3,2,2,3,3.0,2,1,3.0,4.0,2
SYN-0298,30-44,North,2,3,3,3,3.0,3,3,4.0,2.0,2
SYN-0299,60+,South,3,2,2,2,2.0,3,1,3.0,1.0,2
SYN-0300,60+,West,3,3,3,5,3.0,4,3,4.0,4.0,3
SYN-0301,30-44,South,5,4,4,4,3.0,3,3,3.0,3.0,3
SYN-0302,45-59,East,3,1,1,2,2.0,3,2,1.0,3.0,2
SYN-0303,30-44,Central,4,4,5,4,4.0,4,3,5.0,5.0,3
SYN-0304,45-59,West,3,2,2,3,3.0,5,4,2.0,4.0,2
SYN-0305,18-29,West,4,2,3,3,3.0,1,1,1.0,4.0,2
SYN-0306,18-29,West,2,3,3,2,1.0,3,4,4.0,3.0,1
SYN-0307,30-44,East,4,3,3,4,4.0,5,3,4.0,5.0,3
SYN-0308,18-29,East,4,5,3,4,5.0,4,3,4.0,2.0,3
SYN-0309,45-59,South,3,3,3,3,3.0,2,3,4.0,3.0,3
SYN-0310,30-44,West,5,4,5,3,4.0,4,2,2.0,5.0,4
SYN-0311,60+,West,1,4,3,4,3.0,2,3,3.0,3.0,3
SYN-0312,45-59,South,2,2,2,4,1.0,4,4,2.0,4.0,2
SYN-0313,30-44,North,4,5,4,5,5.0,4,3,4.0,4.0,4
SYN-0314,45-59,North,4,3,2,3,5.0,3,5,2.0,3.0,3
SYN-0315,18-29,Central,3,4,5,4,2.0,3,2,2.0,3.0,3
SYN-0316,30-44,North,3,2,3,3,3.0,4,3,3.0,2.0,3
SYN-0317,18-29,Central,3,3,2,3,3.0,1,4,3.0,3.0,2
SYN-0318,45-59,North,2,2,2,3,3.0,2,4,,3.0,1
SYN-0319,45-59,West,4,5,2,4,3.0,4,4,4.0,3.0,2
SYN-0320,60+,North,2,2,1,2,3.0,2,1,3.0,3.0,2
SYN-0321,60+,East,1,4,4,4,2.0,3,2,3.0,4.0,1
SYN-0322,60+,Central,4,4,4,3,3.0,2,2,1.0,4.0,4
SYN-0323,18-29,North,5,5,4,4,4.0,4,2,4.0,3.0,4
SYN-0324,60+,East,4,4,3,5,4.0,3,1,3.0,2.0,3
SYN-0325,30-44,West,4,3,4,5,2.0,4,3,4.0,4.0,2
SYN-0326,30-44,East,2,3,3,3,3.0,4,3,3.0,5.0,3
SYN-0327,30-44,West,2,1,3,1,5.0,4,3,2.0,3.0,2
SYN-0328,30-44,South,5,3,3,2,4.0,4,3,5.0,2.0,3
SYN-0329,18-29,East,1,2,3,2,2.0,3,1,2.0,3.0,1
SYN-0330,18-29,North,3,1,3,3,3.0,4,3,3.0,3.0,2
SYN-0331,18-29,West,4,4,3,4,4.0,4,3,3.0,3.0,4
SYN-0332,30-44,East,3,2,3,4,5.0,4,4,2.0,5.0,4
SYN-0333,60+,Central,2,2,2,3,3.0,3,3,,2.0,3
SYN-0334,45-59,Central,3,1,2,2,2.0,4,1,1.0,2.0,2
SYN-0335,30-44,East,4,3,3,3,3.0,4,3,2.0,3.0,3
SYN-0336,30-44,North,2,2,4,2,3.0,3,2,2.0,3.0,2
SYN-0337,30-44,West,2,4,1,1,3.0,2,1,3.0,2.0,1
SYN-0338,18-29,Central,3,4,3,2,2.0,1,1,3.0,2.0,2
SYN-0339,45-59,North,4,4,4,3,5.0,5,5,2.0,4.0,3
SYN-0340,18-29,Central,3,4,3,4,2.0,3,2,4.0,1.0,2
SYN-0341,45-59,West,4,1,1,2,3.0,2,2,3.0,2.0,2
SYN-0342,45-59,Central,4,2,2,4,5.0,4,3,2.0,4.0,3
SYN-0343,30-44,South,4,3,3,2,4.0,3,4,1.0,4.0,3
SYN-0344,45-59,West,2,2,4,2,3.0,3,4,3.0,4.0,3
SYN-0345,30-44,North,1,4,4,5,2.0,4,3,4.0,4.0,2
SYN-0346,60+,East,1,1,1,1,2.0,2,2,4.0,4.0,1
SYN-0347,45-59,Central,4,3,3,4,3.0,4,4,3.0,2.0,3
SYN-0348,45-59,East,2,3,4,2,2.0,5,3,5.0,4.0,3
SYN-0349,45-59,North,2,2,2,3,2.0,3,3,1.0,2.0,2
SYN-0350,45-59,North,4,4,3,3,4.0,5,3,3.0,5.0,3
SYN-0351,60+,East,2,4,3,4,3.0,5,3,3.0,3.0,3
SYN-0352,30-44,West,3,4,3,5,4.0,4,3,4.0,5.0,4
SYN-0353,45-59,West,3,2,2,1,2.0,2,3,4.0,2.0,2
SYN-0354,45-59,East,3,3,3,4,5.0,3,2,4.0,5.0,3
SYN-0355,30-44,South,3,3,3,2,3.0,4,3,1.0,4.0,3
SYN-0356,60+,North,2,3,2,3,,3,3,4.0,3.0,2
